fault_type,scale,sample,batch,class,median_before_percentile,median_after_percentile,maximum_abs_percentile_shift,feature_1_before_original,feature_1_after_original,feature_1_before_percentile,feature_1_after_percentile,feature_2_before_original,feature_2_after_original,feature_2_before_percentile,feature_2_after_percentile,feature_3_before_original,feature_3_after_original,feature_3_before_percentile,feature_3_after_percentile,feature_4_before_original,feature_4_after_original,feature_4_before_percentile,feature_4_after_percentile
gaussian,3.0,2,8,4,0.3738412270352267,0.38151019720209,0.9860104500252823,311.87514506703883,-38926.22120890986,0.006236305410416316,0.0,1.1955774248790085,87.38775776702165,0.013315354795213214,0.9993258048204955,0.10573026769188232,-15.902047349321954,0.0030338783077700996,0.0,0.3524598001382415,-41.965337765562595,0.004719366256531266,0.0
gaussian,3.0,9,8,5,0.37856059329175795,0.06809371312995112,0.9607281307938649,851.4376638550893,-36608.62358308163,0.006910500589920782,0.0,1.937377832008771,-41.541171840246236,0.08242036069442103,0.0,0.18219947384278612,37.042024439167406,0.0053935614360357325,0.8255519973032193,0.4244612598063817,-15.564571343306483,0.0053935614360357325,0.0
gaussian,3.0,12,8,5,0.38083600202258555,0.15413787291420866,0.9280296645878982,493.56320180010516,71477.95016492934,0.006404854205292432,0.6340805663239508,1.7979357899135042,61.85813302521604,0.0699477498735884,0.9979774144614866,0.1281610302159102,-4.521890780027057,0.004550817461655149,0.0,0.34456089089642816,-166.95415990379095,0.004550817461655149,0.0
gaussian,3.0,15,8,5,0.37830777009944383,0.15455924490139897,0.9246586886903758,484.470836722845,-475775.2814121064,0.006404854205292432,0.0,1.861272634700991,30.76354686470921,0.07584695769425248,0.9737063879993259,0.11508238663932957,-6.723732282896069,0.0038766222821506827,0.0,0.3341245632288192,-62.1876708068321,0.004550817461655149,0.0
gaussian,3.0,21,8,5,0.3811730996123378,0.3467048710601719,0.9197707736389685,641.6711509003944,-146781.7872408054,0.006910500589920782,0.0,2.065144937711514,-26.63279443419129,0.10382605764368785,0.0,0.14091484975138258,46.556577147362404,0.004719366256531266,0.8919602224844092,0.34827854508931466,-15.923182530672314,0.004719366256531266,0.0
offset,3.0,2,8,4,0.3738412270352267,0.9533962582167538,0.984156413281645,311.87514506703883,-258238.23805906042,0.006236305410416316,0.0,1.1955774248790085,58.82220990683213,0.013315354795213214,0.9974717680768582,0.10573026769188232,-64.26013183608623,0.0030338783077700996,0.0,0.3524598001382415,89.41274643607696,0.004719366256531266,0.9475813247935277
offset,3.0,9,8,5,0.37856059329175795,0.9521321422551828,0.9467385808191472,851.4376638550893,-257698.69608799,0.006910500589920782,0.0,1.937377832008771,59.56401088643107,0.08242036069442103,0.9978088656666105,0.18219947384278612,-64.18366262993533,0.0053935614360357325,0.0,0.4244612598063817,89.48474966521403,0.0053935614360357325,0.9477498735884038
offset,3.0,12,8,5,0.38083600202258555,0.9519635934603068,0.9470756784088994,493.56320180010516,-258056.55513925676,0.006404854205292432,0.0,1.7979357899135042,59.424571134212506,0.0699477498735884,0.9978088656666105,0.1281610302159102,-64.23770107356219,0.004550817461655149,0.0,0.34456089089642816,89.40484752683514,0.004550817461655149,0.9475813247935277
offset,3.0,15,8,5,0.37830777009944383,0.9519635934603068,0.9474127759986516,484.470836722845,-258065.65777819284,0.006404854205292432,0.0,1.861272634700991,59.48790912393835,0.07584695769425248,0.9978088656666105,0.11508238663932957,-64.2507809959736,0.0038766222821506827,0.0,0.3341245632288192,89.39440766022972,0.004550817461655149,0.9475813247935277
offset,3.0,21,8,5,0.3811730996123378,0.9519635934603068,0.9469071296140232,641.6711509003944,-257908.4471901565,0.006910500589920782,0.0,2.065144937711514,59.69178142694887,0.10382605764368785,0.9978088656666105,0.14091484975138258,-64.22494853286153,0.004719366256531266,0.0,0.34827854508931466,89.40856341155913,0.004719366256531266,0.9475813247935277
