method,seed,sample,y,clean_correct,fault_correct,true_probability_change,score_change,weight_reduction,fault_score,fault_weight
PDRF,101,2,3,False,False,-0.11637936532497406,3.130455493927002,0.12675324082374573,2.9999730587005615,0.14701706171035767
PDRF,101,4,3,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,9,4,False,True,0.3120080232620239,3.8366899490356445,0.16643527150154114,2.9995508193969727,0.1516374945640564
PDRF,101,11,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,12,4,False,False,-0.02279767394065857,3.8793563842773438,0.13150840997695923,2.9958629608154297,0.10521703958511353
PDRF,101,15,4,False,False,-0.226924866437912,3.870314836502075,0.1313210427761078,2.982203722000122,0.10545801371335983
PDRF,101,21,4,False,True,0.16731637716293335,3.846557140350342,0.1302219182252884,2.999990940093994,0.10542787611484528
PDRF,101,26,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,28,4,False,False,-0.37573814392089844,3.8494133949279785,0.13036814332008362,2.9942634105682373,0.10544715076684952
PDRF,101,29,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,30,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,33,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,39,4,True,False,-0.3722953796386719,3.8271188735961914,0.16864246129989624,2.9999022483825684,0.15567070245742798
PDRF,101,40,4,False,True,0.23599189519882202,3.810028314590454,0.12839017808437347,2.968433141708374,0.10521607100963593
PDRF,101,41,4,True,False,-0.523052453994751,3.8568637371063232,0.16045784950256348,2.9999985694885254,0.14169490337371826
PDRF,101,46,4,True,False,-0.8170774579048157,3.8235974311828613,0.0,2.9974617958068848,1.0
PDRF,101,47,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,51,4,False,False,-0.36751243472099304,3.894012689590454,0.13155846297740936,2.9995951652526855,0.10455454885959625
PDRF,101,54,4,False,False,-0.17269037663936615,3.846855640411377,0.12998396158218384,2.999931812286377,0.10515180975198746
PDRF,101,55,4,False,False,-0.03252971172332764,3.807349681854248,0.12819737195968628,2.9999654293060303,0.10513513535261154
PDRF,101,56,4,False,False,0.0,0.0,0.0,-1.2469663619995117,0.0
PDRF,101,57,4,False,True,0.4216609597206116,3.8861212730407715,0.13111409544944763,3.0,0.10445857793092728
PDRF,101,60,4,True,True,-0.1162610650062561,3.865424633026123,0.0,3.0,1.0
